data.json,Vehicle: 0,Vehicle: 1,Vehicle: 2,Vehicle: 3,Vehicle: 4,Vehicle: 5,Vehicle: 6,Vehicle: 7,Vehicle: 8,Vehicle: 9,Vehicle: 10,Vehicle: 11,Vehicle: 12,Total
Re-handling Cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Routing Cost,233015.0,201105.0,196715.0,208200.0,197485.0,158740.0,161145.0,196675.0,185205.0,186640.0,179775.0,186630.0,185440.0,2476770.0
Total Cost,,,,,,,,,,,,,,2476770.0
data.json,Vehicle: 0,Vehicle: 1,Vehicle: 2,Vehicle: 3,Vehicle: 4,Vehicle: 5,Vehicle: 6,Vehicle: 7,Total
Re-handling Cost,0,0,0,0,0,0,0,0,0
Routing Cost,289110.0,210045.0,249580.0,159335.0,191305.0,199025.0,196915.0,194040.0,1689355.0
Total Cost,,,,,,,,,1689355.0
