,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
47,6.778,1.798,4.873,0.379,0.94,4.408,5.202,1.418,4.519,5.178,2.616,3.59,6.575,5.772,4.988,6.392,2.634,3.659,4.542,6.073,2.625,5.041,6.109,4.803,1.035,4.28,5.085,1.214,5.915,1.7,3.304,5.781,1.344,1.564,3.518,1.865,1.574,1.332,1.693,1.724,2.202,1.3,2.869,4.31,6.437,5.533,5.237,0,1.312,6.373,5.501,2.642,5.146,5.195,3.385,2.414,4.317,3.124,1.705,10.772,8.578,12.065,8.473,10.946,12.371,9.014,10.501,10.439,9.857,12.657,9.851,8.652,9.432,11.152,11.999,9.071,12.078,10.628,9.823,11.791,12.434,9.21,10.501,9.415,12.06,11.794,11.254,12.425,9.533,12.204,8.277,9.801,12.187,10.58,9.944,10.202,8.966,12.735,6.636,9.91,6.932,8.693,8.921,9.043,12.197,7.385,6.367,7.666,9.867,13.454,9.239,12.405,8.79,8.7,9.309,6.159,8.442,9.283,9.604,8.325,6.742,12.692,8.259,13.756,9.171,9.056,11.7,8.608,7.33,8.741,9.072,8.599,10.164,8.947,8.644,6.812,10.952,13.62,17.56,12.743,8.965,12.169,11.216,14.351,11.5,13.271,10.282,13.844,11.241,11.149,10.945,12.157,12.83,13.758,11.83,11.502,13.018,19.452,11.808,11.232,11.147,10.153,11.875,10.305,9.563,16.729,11.001,11.195,14.566,15.378,12.806,12.572,8.177,14.708,12.466,12.649,14.293,15.027,13.152,9.241,8.934,14.33,13.871,9.624,15.631,13.057,7.935,8.106,9.668,12.682,14.839,13.352,9.129,8.929,12.97,12.26,11.765,14.46,10.092,8.559,15.286,11.198,11.205,10.595,10.972,9.721,9.551,9.172,10.91,10.151,12.148,10.91,10.754,10.317,10.317,9.933,11.093,9.395,15.027,11.161,10.482,10.282,14.894,11.559,11.182,10.187,17.86,24.054,20.551,17.102,17.642,17.014,20.268,18.631,24.652,22.61,21.273,22.806,15.375,17.07,22.648,20.806,19.704,16.972,16.75,24.391,21.544,17.44,17.831,17.142,22.569,17.717,17.649,20.665,12.829,13.612,19.455,23.503,25.842,35.21,13.859,12.992,26.377,19.337,24.071,22.531,24.62,13.346,21.256,23.054,20.033,21.226,19.109,25.015,22.434,21.529,12.505,13.134,31.602,22.227,25.096,13.208,10.08,9.127,8.419,9.536,9.176,8.653,7.52,8.017,7.836,10.556,9.782,8.218,10.856,7.937,8.78,6.964,8.559,8.58,9.684
48,5.636,1.433,3.988,1.281,1.756,3.523,4.06,2.021,3.558,4.045,1.731,2.705,5.433,4.63,3.344,5.25,1.425,2.774,3.657,4.931,2.323,3.908,5.148,3.918,1.851,3.395,4.124,0.319,3.945,1.639,3.002,4.639,2.16,1.347,2.755,1.543,1.877,2.148,2.509,1.507,1.71,2.116,1.66,2.789,5.295,4.572,4.095,1.355,0,5.231,4.54,2.34,4.004,4.234,2.5,2.112,3.432,2.822,2.521,9.63,7.436,10.923,7.331,9.804,11.229,7.872,9.359,9.297,8.715,11.515,8.709,7.51,8.29,10.01,10.857,7.929,10.936,9.486,8.681,10.649,11.292,8.068,9.359,8.273,10.918,10.652,10.112,11.283,8.391,11.062,7.135,8.659,11.045,9.438,8.802,9.06,7.824,11.593,6.406,9.68,6.702,5.119,8.691,8.158,11.967,7.155,6.137,7.436,9.637,13.224,9.009,12.175,8.56,8.47,9.079,5.929,8.212,9.053,9.374,8.095,6.512,12.462,8.029,13.526,8.941,8.826,11.47,8.378,7.1,7.856,8.842,8.369,7.821,8.717,8.414,6.582,21.161,13.39,17.33,12.513,18.881,11.939,20.782,23.917,11.27,13.041,20.444,13.614,14.091,10.919,13.795,11.927,12.6,13.528,11.6,21.068,12.788,19.222,11.578,11.002,13.997,13.862,11.645,20.221,19.725,16.499,13.437,10.965,14.298,15.11,12.538,12.304,7.909,14.44,12.198,12.381,14.025,14.759,12.884,8.973,8.666,14.062,13.603,9.356,15.363,12.789,7.667,7.838,9.4,12.414,14.571,13.084,8.861,8.661,12.702,11.992,11.497,14.192,8.95,7.674,15.056,10.313,10.32,9.453,10.087,8.579,8.409,8.03,9.768,9.266,10.839,9.768,9.869,9.175,9.175,8.791,9.951,8.253,14.797,10.019,9.597,9.14,14.664,10.417,10.297,9.045,17.63,20.156,16.653,16.872,17.412,16.784,16.37,18.401,20.754,22.38,21.043,18.908,15.145,16.84,18.75,16.908,15.806,16.742,16.52,20.493,17.646,17.21,17.601,16.912,22.339,17.487,17.419,20.435,11.687,12.47,19.225,23.235,25.574,34.942,12.717,11.85,26.109,19.107,23.803,22.263,24.352,12.204,20.988,22.786,13.069,20.958,18.879,24.747,22.166,21.261,11.363,11.992,31.334,21.959,24.828,12.066,8.938,7.985,7.277,8.394,8.034,7.511,6.378,6.875,6.694,9.414,8.64,7.076,9.714,6.795,7.638,5.822,7.417,7.438,8.542
49,0.338,6.445,2.995,6.786,7.261,5.15,3.04,6.242,3.146,1.871,5.179,3.174,0.802,0.702,2.601,1.228,4.244,4.842,5.412,0.3,4.709,2.407,4.137,5.061,7.356,3.58,3.571,5.824,5.366,6.651,4.588,3.903,7.665,6.852,6.203,6.385,6.193,7.653,8.014,6.873,6.614,7.621,4.883,4.428,0.152,4.019,3.075,6.86,5.608,0,3.987,4.526,2.984,3.107,5.948,4.298,2.744,4.886,8.026,4.367,3.441,5.66,3.208,3.631,5.966,3.749,4.995,5.167,4.316,6.873,3.446,3.472,3.027,4.747,5.594,3.934,6.484,5.034,3.418,5.386,6.029,3.892,4.995,3.01,6.466,5.389,4.849,6.02,4.027,6.61,3.14,4.295,5.782,4.175,4.679,3.797,3.608,6.33,6.489,7.694,7.569,4.819,8.22,10.288,14.985,6.207,6.249,5.474,9.392,12.857,6.684,14.916,8.089,5.836,8.608,5.415,5.176,8.738,8.903,9.384,7.533,15.48,6.395,15.862,7.082,10.115,14.532,8.301,6.829,9.986,8.371,6.383,7.948,5.871,9.703,6.694,18.428,20,23.004,16.644,16.148,16.07,18.049,21.184,15.401,18.628,17.711,22.915,18.67,15.05,18.374,16.058,22.701,20.335,15.731,18.335,19.814,24.896,15.709,15.133,18.576,17.582,15.776,17.488,16.992,22.173,18.43,15.096,8.236,15.129,10.733,8.092,10.788,8.378,8.887,9.07,8.506,8.892,11.207,10.294,9.784,8.147,8.475,10.392,15.382,11.112,11.11,11.192,10.436,9.492,8.509,8.65,9.671,9.852,9.166,9.094,9.176,14.211,4.111,9.804,5.546,6.82,6.308,4.585,6.619,3.74,3.57,3.191,4.9,7.107,6.138,4.9,7.085,4.336,4.336,3.952,5.083,3.802,5.287,5.151,6.761,3.97,5.154,5.549,8.15,4.206,8.078,14.965,11.25,7.697,8.237,7.609,10.967,8.872,15.563,13.858,12.521,12.086,6.044,7.665,11.035,11.505,10.403,6.549,7.419,15.302,12.455,8.035,8.072,7.737,13.817,8.312,7.89,11.913,7.235,7.555,8.856,11.096,12.982,13.611,7.454,7.398,14.222,8.417,11.211,7.339,11.76,6.941,8.234,10.548,7.806,8.425,8.51,12.155,7.663,8.082,6.911,7.54,18.841,7.394,12.236,6.803,3.768,2.815,2.396,3.224,2.864,2.88,1.08,1.705,1.524,4.244,3.47,2.264,4.544,1.579,2.468,0.921,2.247,2.726,3.372
50,4.242,5.02,4.685,5.361,5.836,4.939,1.199,4.817,1.19,3.748,3.754,3.467,4.039,3.236,3.558,3.856,2.819,3.765,5.073,3.537,3.13,3.611,1.013,5.334,5.931,4.162,0.913,4.399,5.361,5.226,3.009,1.052,6.24,5.427,4.778,4.96,4.238,6.228,6.589,5.448,5.189,6.196,3.458,2.88,3.901,0.99,1.251,5.435,4.183,3.837,0,3.101,1.008,1.023,4.523,2.873,4.129,3.307,6.601,6.441,3.903,7.734,3.798,6.304,8.04,4.339,5.826,5.764,5.182,7.982,5.52,3.977,5.101,6.821,7.668,4.396,7.671,5.986,5.492,7.46,8.103,4.535,5.826,5.084,7.418,7.335,6.923,8.094,4.858,7.562,3.602,5.126,7.856,6.417,5.269,5.871,4.291,8.404,6.889,9.643,7.969,5.886,8.62,9.574,12.091,7.081,6.649,7.265,9.792,13.257,8.938,12.022,8.489,6.903,9.008,5.815,6.243,9.138,9.303,9.784,7.933,12.586,7.958,12.968,8.87,10.515,11.638,8.701,7.229,9.272,8.771,8.298,9.237,6.938,10.103,7.094,17.003,18.575,19.226,14.872,14.723,14.298,16.624,19.759,13.629,17.203,16.286,15.973,17.245,13.278,16.949,14.286,14.959,15.887,13.959,16.91,15.147,22.544,13.937,13.361,17.151,16.157,14.004,16.063,15.567,22.573,17.005,13.324,6.092,12.558,8.589,5.948,8.644,6.234,6.743,6.926,7.189,6.748,9.063,8.15,7.64,6.003,6.331,8.248,12.811,8.968,9.531,9.048,8.292,7.348,6.365,6.506,7.527,7.708,7.022,6.95,7.032,10.353,7.556,9.09,8.991,10.294,9.782,8.059,10.093,7.185,7.015,6.636,8.374,10.581,9.612,8.374,10.559,7.781,7.781,7.397,8.557,6.859,8.732,8.625,10.235,7.746,8.599,9.023,11.595,7.651,10.152,21.572,14.695,9.771,10.311,9.683,14.412,10.946,22.17,15.932,14.595,15.531,9.489,9.739,20.166,14.95,13.848,9.641,10.864,21.909,19.062,10.109,10.146,9.811,15.891,10.386,9.964,13.987,8.187,8.97,10.93,12.048,13.934,14.563,9.528,8.35,15.174,10.491,12.163,8.291,12.712,9.015,9.186,11.5,9.88,9.377,10.584,13.107,8.615,9.034,7.863,8.492,15.938,8.346,13.188,8.8,6.943,5.947,3.975,7,5.734,6.117,4.984,5.481,5.3,7.199,6.34,5.682,8.32,4.859,6.244,4.428,6.023,6.044,6.242
51,5.87,2.719,5.207,2.809,2.96,4.563,3.622,2.042,2.572,4.27,3.52,3.989,5.667,4.864,4.08,5.484,2.585,4.287,4.697,5.165,1.486,4.133,4.142,4.958,3.055,4.684,3.138,2.178,4.985,2.697,1.434,4.068,3.038,2.561,4.544,2.829,1.993,3.026,3.387,2.721,2.996,2.994,3.224,3.402,5.529,3.425,3.349,2.762,2.276,5.465,3.393,0,3.233,3.248,4.289,0.4,4.651,1.467,3.399,9.864,7.67,11.157,7.565,10.038,11.463,8.106,9.593,9.531,8.949,11.749,8.943,7.744,8.524,10.244,11.091,8.163,11.17,9.72,8.915,10.883,11.526,8.302,9.593,8.507,11.152,10.886,10.346,11.517,8.625,11.296,7.369,8.893,11.279,9.672,9.036,9.294,8.058,11.827,7.62,9.267,7.916,6.408,9.905,9.198,13.181,8.369,7.351,8.65,10.851,14.438,10.223,11.646,9.774,9.684,10.293,5.439,6.765,10.267,10.588,9.309,7.726,13.676,9.243,14.74,10.155,10.04,12.684,9.592,8.314,8.896,10.056,9.583,8.861,9.931,9.628,7.796,21.381,14.604,18.544,13.727,19.101,13.153,21.002,24.137,12.484,14.255,20.664,14.828,21.623,12.133,21.327,13.141,13.814,14.742,12.814,21.288,14.002,26.922,12.792,12.216,21.529,20.535,12.859,20.441,19.945,17.713,14.651,12.179,9.108,15.33,12.758,12.524,8.129,9.25,12.418,12.601,14.245,9.764,13.104,9.193,8.886,9.019,13.823,9.576,15.583,13.009,7.887,8.058,9.62,12.634,9.381,13.304,9.081,8.881,12.922,12.212,11.717,14.412,9.184,8.714,10.619,11.353,11.41,9.687,11.127,8.813,8.643,8.264,10.002,10.306,11.24,10.002,10.909,9.409,9.409,9.025,10.185,8.487,10.36,10.253,10.637,9.374,10.227,10.651,11.337,9.279,13.575,21.196,17.693,13.194,13.734,13.106,17.41,14.369,21.794,28.982,18.018,19.948,11.117,13.162,19.79,17.948,16.846,13.064,12.492,21.533,18.686,13.532,13.569,13.234,28.941,13.809,13.387,17.41,11.921,12.704,14.353,23.455,25.794,35.162,12.951,12.084,26.329,13.914,24.023,12.025,24.572,12.438,21.208,23.006,13.303,21.178,14.007,24.967,12.349,21.481,11.597,12.226,31.554,22.179,25.048,12.3,9.172,8.219,7.511,8.628,8.268,7.745,6.612,7.109,6.928,9.648,8.874,7.31,9.948,7.029,7.872,6.056,7.651,7.672,8.776
52,3.172,4.802,3.87,5.143,5.618,4.521,0.191,4.599,0.802,2.933,3.536,3.049,2.969,2.166,2.743,2.786,2.601,3.347,4.655,2.467,2.962,2.796,1.549,5.13,5.713,3.795,0.182,4.181,4.943,5.008,2.841,0.858,6.022,5.209,4.56,4.742,4.55,6.01,6.371,5.23,4.971,5.978,3.24,2.462,2.831,1.302,0.175,5.217,3.965,2.767,1.008,2.883,0,0.123,4.305,2.655,3.314,3.139,6.383,7.166,3.919,8.459,3.814,6.32,8.765,4.355,5.842,5.78,5.198,7.998,6.245,3.993,5.826,7.546,8.393,4.412,7.687,6.002,6.217,8.185,8.828,4.551,5.842,5.809,7.434,8.188,7.648,8.819,4.874,7.578,3.618,5.142,8.581,6.433,5.285,6.596,4.307,9.129,6.558,9.225,7.638,5.389,8.289,9.156,11.673,6.75,6.318,6.044,9.461,12.926,8.607,11.604,8.158,6.406,8.677,5.484,5.746,8.807,8.972,9.453,7.602,12.168,7.627,12.55,8.539,10.184,11.22,8.37,6.898,8.854,8.44,7.967,8.819,6.441,9.772,6.763,16.785,18.357,23.073,14.454,14.505,13.88,16.406,19.541,13.211,16.985,16.068,18.718,17.027,12.86,16.731,13.868,14.541,18.692,13.541,16.692,14.729,22.326,13.519,12.943,16.933,15.939,13.586,15.845,15.349,22.242,16.787,12.906,6.108,12.574,8.605,5.964,8.66,6.25,6.759,6.942,7.205,6.764,9.079,8.166,7.656,6.019,6.347,8.264,12.827,8.984,9.363,9.064,8.308,7.364,6.381,6.522,7.543,7.724,7.038,6.966,7.048,10.369,6.486,8.672,7.921,9.224,8.712,6.989,9.023,6.115,5.945,5.566,7.304,9.511,8.542,7.304,9.489,6.711,6.711,6.327,7.487,5.789,7.662,7.555,9.165,6.676,7.529,7.953,10.525,6.581,10.877,17.34,13.625,10.496,11.036,10.408,13.342,11.671,17.938,16.657,15.32,14.461,8.419,10.464,13.41,13.88,12.778,10.366,9.794,17.677,14.83,10.834,10.871,10.536,16.616,11.111,10.689,14.712,8.203,8.986,11.655,12.064,13.95,14.579,10.253,8.366,15.19,11.216,12.179,8.307,12.728,9.74,9.202,11.516,10.605,9.393,11.309,13.123,8.631,9.05,7.879,8.508,15.954,8.362,13.204,8.816,6.474,5.521,3.991,5.93,5.57,5.047,3.914,4.411,4.23,6.95,6.176,4.612,7.25,4.413,5.174,3.358,4.953,4.974,6.078
53,3.295,4.617,3.993,4.958,5.433,4.536,0.314,4.414,0.817,3.056,3.351,3.064,3.092,2.289,2.866,2.909,2.416,3.362,4.67,2.59,2.977,2.919,1.564,4.931,5.528,3.918,0.197,3.996,4.958,4.823,2.856,0.981,5.837,5.024,4.375,4.557,4.365,5.825,6.186,5.045,4.786,5.793,3.055,2.477,2.954,1.317,0.298,5.032,3.78,2.89,1.023,2.698,0.123,0,4.12,2.47,3.437,3.154,6.198,7.289,4.042,8.582,3.937,6.443,8.888,4.478,5.965,5.903,5.321,8.121,6.368,4.116,5.949,7.669,8.516,4.535,7.81,6.125,6.34,8.308,8.951,4.674,5.965,5.932,7.557,8.311,7.771,8.942,4.997,7.701,3.741,5.265,8.704,6.556,5.408,6.719,4.43,9.252,6.681,9.24,7.761,5.512,8.412,9.171,11.688,6.873,6.441,6.167,9.584,13.049,8.73,11.619,8.281,6.529,8.8,5.607,5.869,8.93,9.095,9.576,7.725,12.183,7.75,12.565,8.662,10.307,11.235,8.493,7.021,8.869,8.563,8.09,8.834,6.564,9.895,6.886,16.6,18.172,18.823,14.469,14.32,13.895,16.221,19.356,13.226,16.8,15.883,15.57,16.842,12.875,16.546,13.883,14.556,15.484,13.556,16.507,14.744,22.141,13.534,12.958,16.748,15.754,13.601,15.66,15.164,22.365,16.602,12.921,6.231,12.697,8.728,6.087,9.62,6.373,6.882,7.065,7.328,6.887,9.202,8.289,7.779,6.142,6.47,8.387,12.95,9.107,9.378,9.187,8.431,7.487,6.504,6.645,7.666,7.847,7.161,7.089,7.171,10.492,6.609,8.687,8.044,9.347,8.835,7.112,9.146,6.238,6.068,5.689,7.427,9.634,8.665,7.427,9.612,6.834,6.834,6.45,7.61,5.912,7.785,7.678,9.288,6.799,7.652,8.076,10.648,6.704,11,17.463,13.748,10.619,11.159,10.531,13.465,11.794,18.061,16.78,15.443,14.584,8.542,10.587,13.533,14.003,12.901,10.489,9.917,17.8,14.953,10.957,10.994,10.659,16.739,11.234,10.812,14.835,8.326,9.109,11.778,12.187,14.073,14.702,10.376,8.489,15.313,11.339,12.302,8.43,12.851,9.863,9.325,11.639,10.728,9.516,11.432,13.246,8.754,9.173,8.002,8.631,16.077,8.485,13.327,8.939,6.597,5.644,4.114,6.053,5.693,5.17,4.037,4.534,4.353,7.073,6.299,4.735,7.373,4.536,5.297,3.481,5.076,5.097,6.201
54,5.961,3.084,4.073,3.687,4.162,1.875,4.385,4.427,3.883,3.813,1.017,2.79,5.758,4.955,3.361,5.575,1.919,1.62,1.896,5.256,4.729,3.676,5.473,2.27,4.257,3.102,4.449,2.853,2.297,3.29,3.891,4.964,4.902,3.391,1.214,2.742,4.283,4.89,4.887,3.371,2.971,4.858,1.56,2.806,5.62,4.897,4.42,3.761,2.932,5.556,4.865,3.095,4.329,4.559,0,2.867,3.517,5.228,4.899,9.955,7.761,11.248,7.656,10.129,11.554,8.197,9.684,9.622,9.04,11.84,9.034,7.835,8.615,10.335,11.182,8.254,11.261,9.811,9.006,10.974,11.617,8.393,9.684,8.598,11.243,10.977,10.437,11.608,8.716,11.387,7.46,8.984,11.37,9.763,9.127,9.385,8.149,11.918,3.825,6.99,4.905,4.275,5.556,6.921,9.438,4.017,3.585,4.201,6.728,10.193,5.874,9.369,5.425,5.335,5.944,2.751,4.744,6.074,6.239,6.72,4.869,9.933,4.894,10.315,5.806,7.451,8.985,5.637,4.165,6.619,5.707,5.234,6.584,5.582,7.039,4.03,12.776,11.576,15.497,10.699,21.287,10.125,13.487,18.522,9.456,11.227,12.502,11.8,12.277,9.105,11.981,10.113,10.786,11.714,9.786,14.844,10.974,17.389,9.764,9.188,12.183,12.048,9.831,12.713,13.084,14.666,11.623,9.151,10.419,17.516,14.944,14.71,10.315,10.561,14.604,14.787,16.431,11.075,15.29,11.379,11.072,10.33,16.009,11.762,17.769,15.195,10.073,10.244,11.806,14.82,10.692,15.49,11.267,11.067,15.108,14.398,13.903,16.598,8.376,6.437,11.955,9.076,9.083,8.879,8.85,8.005,7.835,7.456,9.194,8.029,9.602,9.194,8.632,8.601,8.601,8.217,9.377,7.679,11.696,9.445,8.36,9.465,11.563,9.487,9.06,8.471,14.529,18.919,15.416,13.771,14.311,13.683,15.133,15.3,19.517,19.279,17.942,17.671,12.044,13.739,17.513,15.671,14.569,13.641,14.561,19.256,16.409,14.109,14.5,13.811,19.238,14.386,14.318,17.334,12.012,12.795,16.124,21.961,23.847,37.348,16.086,12.175,25.087,16.006,22.076,12.116,22.625,12.529,23.394,21.413,16.702,23.364,15.778,23.02,12.44,23.667,11.688,12.317,33.74,12.171,23.101,12.391,9.263,8.31,7.602,8.719,8.359,6.641,6.703,7.2,7.019,9.739,8.965,6.502,10.039,7.12,7.963,6.147,7.742,6.864,8.867
55,5.772,2.621,5.109,2.711,2.862,4.465,3.524,1.944,2.474,4.172,3.422,3.891,5.569,4.766,3.982,5.386,2.487,4.189,4.599,5.067,1.388,4.035,4.044,4.86,2.957,4.586,3.04,2.08,4.887,2.599,1.336,3.97,2.94,2.463,4.446,2.731,1.895,2.928,3.289,2.623,2.898,2.896,3.126,3.304,5.431,3.327,3.251,2.664,2.178,5.367,3.295,0.228,3.135,3.15,4.191,0,4.553,1.369,3.301,9.766,7.572,11.059,7.467,9.94,11.365,8.008,9.495,9.433,8.851,11.651,8.845,7.646,8.426,10.146,10.993,8.065,11.072,9.622,8.817,10.785,11.428,8.204,9.495,8.409,11.054,10.788,10.248,11.419,8.527,11.198,7.271,8.795,11.181,9.574,8.938,9.196,7.96,11.729,7.522,9.169,7.818,6.31,9.807,9.1,13.083,8.271,7.253,8.552,10.753,14.34,10.125,11.548,9.676,9.586,10.195,5.341,6.667,10.169,10.49,9.211,7.628,13.578,9.145,14.642,10.057,9.942,12.586,9.494,8.216,8.798,9.958,9.485,8.763,9.833,9.53,7.698,21.283,14.506,18.446,13.629,19.003,13.055,20.904,24.039,12.386,14.157,20.566,14.73,21.525,12.035,21.229,13.043,13.716,14.644,12.716,21.19,13.904,26.824,12.694,12.118,21.431,20.437,12.761,20.343,19.847,17.615,14.553,12.081,9.01,15.232,12.66,12.426,8.031,9.152,12.32,12.503,14.147,9.666,13.006,9.095,8.788,8.921,13.725,9.478,15.485,12.911,7.789,7.96,9.522,12.536,9.283,13.206,8.983,8.783,12.824,12.114,11.619,14.314,9.086,8.616,10.521,11.255,11.312,9.589,11.029,8.715,8.545,8.166,9.904,10.208,11.142,9.904,10.811,9.311,9.311,8.927,10.087,8.389,10.262,10.155,10.539,9.276,10.129,10.553,11.239,9.181,13.477,21.098,17.595,13.096,13.636,13.008,17.312,14.271,21.696,28.884,17.92,19.85,11.019,13.064,19.692,17.85,16.748,12.966,12.394,21.435,18.588,13.434,13.471,13.136,28.843,13.711,13.289,17.312,11.823,12.606,14.255,23.357,25.696,35.064,12.853,11.986,26.231,13.816,23.925,11.927,24.474,12.34,21.11,22.908,13.205,21.08,13.909,24.869,12.251,21.383,11.499,12.128,31.456,22.081,24.95,12.202,9.074,8.121,7.413,8.53,8.17,7.647,6.514,7.011,6.83,9.55,8.776,7.212,9.85,6.931,7.774,5.958,7.553,7.574,8.678
56,3.293,3.891,0.556,4.462,4.937,2.406,3.329,4.998,3.249,0.964,2.894,1.12,2.47,2.371,1.359,2.855,2.277,2.098,2.668,2.588,4.442,0.633,4.839,2.317,5.032,0.836,3.815,3.769,2.622,4.097,4.078,3.908,5.341,4.339,3.918,3.831,5.058,5.329,5.835,4.319,4.06,5.297,2.598,1.6,2.682,4.263,3.364,4.536,3.365,2.888,4.231,3.282,3.273,3.396,3.545,3.054,0,4.376,5.847,7.488,6.251,7.506,5.826,6.752,7.812,6.367,7.801,7.785,6.934,9.69,6.567,6.09,6.148,6.593,7.44,6.744,9.301,7.851,6.539,7.28,7.875,6.51,7.801,6.131,9.283,8.51,6.695,7.866,6.833,9.427,5.95,7.101,7.628,7.296,7.297,6.918,6.226,8.176,3.745,4.95,4.825,2.075,5.476,7.544,8.731,3.463,3.505,2.73,6.648,10.113,3.94,8.662,5.345,3.092,5.864,2.671,2.432,5.994,6.159,6.64,4.789,9.226,3.651,10.415,4.338,7.371,8.278,5.557,4.085,7.242,5.627,3.639,5.204,3.127,6.959,3.95,18.143,14.777,20.26,13.9,15.863,13.326,17.764,23.285,12.657,14.428,17.426,20.171,15.478,12.306,15.182,13.314,19.957,20.68,12.987,18.05,17.07,22.152,12.965,12.389,15.384,17.297,13.032,17.203,16.707,19.429,14.824,12.352,9.158,18.291,11.655,9.014,11.09,9.3,9.809,9.992,10.255,9.814,16.065,12.154,10.706,9.069,9.397,11.314,18.544,15.97,10.848,11.019,11.358,10.414,9.431,9.572,10.593,11.842,10.088,10.016,10.098,17.373,5.568,7.06,7.003,8.306,7.794,6.071,8.105,5.197,5.027,4.648,6.386,8.652,7.624,6.386,9.255,5.793,5.793,5.409,6.569,4.871,6.744,6.637,8.983,6.294,6.611,7.035,9.683,5.663,14.449,19.542,16.039,9.241,10.147,9.391,15.756,15.22,20.14,19.199,17.862,18.294,7.501,9.447,18.136,16.294,15.192,8.794,8.876,19.879,17.032,14.029,14.42,13.731,19.158,14.306,14.238,17.254,10.052,10.835,16.044,13.913,15.799,16.428,9.3,10.215,17.039,15.926,14.028,10.156,14.577,8.787,11.051,13.365,9.652,11.242,15.698,14.972,10.48,10.899,9.728,10.357,24.182,10.211,15.053,8.649,6.092,5.139,5.213,5.548,5.188,3.598,4.035,4.029,3.848,6.568,5.794,3.694,6.032,4.212,4.369,3.553,4.571,4.056,5.696
57,5.655,2.837,4.992,2.927,3.078,4.348,3.207,1.72,2.157,4.055,3.305,3.774,5.452,4.649,3.865,5.269,2.37,4.072,4.482,4.95,0.468,3.918,3.727,4.743,3.173,4.469,2.723,2.296,4.77,2.815,1.019,3.653,3.156,2.679,4.329,2.947,1.576,3.144,3.505,2.839,3.114,3.112,3.009,3.187,5.314,3.01,2.934,2.88,2.394,5.25,2.978,1.519,2.818,2.833,4.074,1.291,4.436,0,3.517,9.649,7.455,10.942,7.35,9.823,11.248,7.891,9.378,9.316,8.734,11.534,8.728,7.529,8.309,10.029,10.876,7.948,10.955,9.505,8.7,10.668,11.311,8.087,9.378,8.292,10.937,10.671,10.131,11.302,8.41,11.081,7.154,8.678,11.064,9.457,8.821,9.079,7.843,11.612,9.779,9.052,10.075,6.193,12.064,8.983,15.34,10.528,9.51,10.809,13.01,16.597,12.382,11.431,11.933,11.843,12.452,5.224,6.55,12.426,12.747,11.468,9.885,15.835,11.402,16.899,12.314,12.199,14.843,11.751,10.473,8.681,12.215,11.742,8.646,12.09,11.787,9.955,20.363,21.935,22.586,15.886,18.083,15.312,19.984,23.119,14.643,20.563,19.646,16.987,20.605,14.292,20.309,15.3,15.973,16.901,14.973,20.27,16.161,25.904,14.951,14.375,20.511,19.517,15.018,19.423,18.927,19.872,20.365,14.338,13.5,14.312,11.74,11.506,7.111,13.642,11.4,11.583,13.227,13.961,12.086,8.175,7.868,13.264,12.805,8.558,14.565,11.991,6.869,7.04,8.602,11.616,13.773,12.286,8.063,7.863,11.904,11.194,10.699,13.394,8.969,8.499,10.404,11.138,11.195,9.472,10.912,8.598,8.428,8.049,9.787,10.091,11.025,9.787,10.694,9.194,9.194,8.81,9.97,8.272,10.145,10.038,10.422,9.159,10.012,10.436,11.122,9.064,13.36,20.981,17.478,12.979,13.519,12.891,17.195,25.944,21.579,27.964,27.829,19.733,10.902,12.947,19.575,17.733,16.631,12.849,12.277,21.318,18.471,13.317,13.354,13.019,27.923,13.594,13.172,27.221,11.706,12.489,14.138,22.437,24.776,34.144,12.736,11.869,25.311,13.699,23.005,21.465,23.554,12.223,20.19,21.988,13.088,20.16,13.792,23.949,21.368,20.463,11.382,12.011,30.536,21.161,24.03,12.085,8.957,8.004,7.296,8.413,8.053,7.53,6.397,6.894,6.713,9.433,8.659,7.095,9.733,6.814,7.657,5.841,7.436,7.457,8.561
