epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,81.4926,0.99766,1.25086,1.12318,0.25544,0.81667,0.56355,0.31812,1.28471,2.35793,1.36757,0.0007294,0.0007294,0.0007294
43,83.4438,1.04972,1.33895,1.12253,0.28413,0.81667,0.54089,0.31224,1.21983,2.19379,1.3168,0.0007228,0.0007228,0.0007228
44,84.7089,1.01204,1.27771,1.12091,0.2638,0.76667,0.44742,0.28489,1.20206,2.27169,1.34046,0.0007162,0.0007162,0.0007162
45,86.093,1.00129,1.3165,1.11893,0.29009,0.76667,0.54817,0.29467,1.32861,2.36825,1.37823,0.0007096,0.0007096,0.0007096
46,87.3277,1.03399,1.25835,1.11095,0.33642,0.85338,0.57772,0.32337,1.34012,2.21286,1.35019,0.000703,0.000703,0.000703
47,88.5503,0.96145,1.18213,1.08092,0.33642,0.85338,0.57772,0.32337,1.34012,2.21286,1.35019,0.0006964,0.0006964,0.0006964
48,89.7781,0.99554,1.2795,1.10113,0.34417,0.93652,0.6825,0.33314,1.3403,2.12394,1.30468,0.0006898,0.0006898,0.0006898
49,91.6091,0.95333,1.17925,1.05734,0.68055,0.69125,0.75236,0.38904,1.27148,1.84218,1.26152,0.0006832,0.0006832,0.0006832
50,93.5148,0.96534,1.18925,1.08979,0.6945,0.7496,0.7689,0.4223,1.29523,1.68405,1.2572,0.0006766,0.0006766,0.0006766
51,95.3291,0.96917,1.15892,1.0771,0.69281,0.73725,0.76977,0.40414,1.28447,1.67769,1.23335,0.00067,0.00067,0.00067
52,97.2522,0.92916,1.11301,1.077,0.69281,0.73725,0.76977,0.40414,1.28447,1.67769,1.23335,0.0006634,0.0006634,0.0006634
53,99.2804,0.94181,1.12431,1.06206,0.44994,0.93261,0.7832,0.41271,1.2373,1.67807,1.20504,0.0006568,0.0006568,0.0006568
54,101.388,0.98239,1.12711,1.09676,0.45038,0.97884,0.63752,0.40955,1.17093,1.70699,1.17777,0.0006502,0.0006502,0.0006502
55,103.512,0.98311,1.11447,1.08133,0.41393,0.98687,0.65403,0.43367,1.05183,1.77117,1.1436,0.0006436,0.0006436,0.0006436
56,105.369,0.96567,1.08348,1.11537,0.44884,0.94829,0.61632,0.41014,1.05222,1.81384,1.17571,0.000637,0.000637,0.000637
57,107.179,0.91026,1.09055,1.07085,0.44884,0.94829,0.61632,0.41014,1.05222,1.81384,1.17571,0.0006304,0.0006304,0.0006304
58,108.852,0.927,1.12639,1.09025,0.39624,0.8,0.65636,0.40163,1.10946,1.88567,1.20663,0.0006238,0.0006238,0.0006238
59,110.753,0.89632,1.08875,1.05535,0.44364,0.7997,0.61007,0.36564,1.17829,1.90859,1.19116,0.0006172,0.0006172,0.0006172
60,112.458,0.94991,1.10728,1.07965,0.39445,0.85,0.58452,0.34625,1.15933,1.8821,1.15244,0.0006106,0.0006106,0.0006106
61,113.932,0.9607,1.12483,1.09169,0.51223,0.79599,0.68786,0.43253,1.12437,1.72552,1.08478,0.000604,0.000604,0.000604
62,115.144,0.9364,1.08695,1.09597,0.54786,0.73332,0.64148,0.39882,1.15444,1.73777,1.0761,0.0005974,0.0005974,0.0005974
63,116.37,0.97782,1.11655,1.07063,0.54786,0.73332,0.64148,0.39882,1.15444,1.73777,1.0761,0.0005908,0.0005908,0.0005908
64,117.616,0.93544,1.0565,1.05183,0.476,0.83299,0.64229,0.4103,1.20187,1.87408,1.10203,0.0005842,0.0005842,0.0005842
65,118.861,0.85565,1.06924,1.03668,0.45286,0.85,0.61554,0.38242,1.28261,2.01322,1.13461,0.0005776,0.0005776,0.0005776
66,120.117,0.97875,1.13162,1.08418,0.44895,0.86257,0.65033,0.37765,1.32068,2.08591,1.14449,0.000571,0.000571,0.000571
67,121.391,0.88654,0.99964,1.05466,0.45574,0.91436,0.63227,0.34056,1.36158,2.08128,1.16334,0.0005644,0.0005644,0.0005644
68,122.876,0.95299,1.08607,1.06614,0.45574,0.91436,0.63227,0.34056,1.36158,2.08128,1.16334,0.0005578,0.0005578,0.0005578
